sample_id,split,label,text_clean,n_words_raw,n_words_clean
30,train,0,سكر سكر المرير شعر خيبة امل شديد استمع اغنية اشترى للتو بدا اشبه بالافتتاح لكارتون صباح يوم السبت ولم يكن اغنية احب سكر سكر,29,24
31,train,1,مجموع ممتاز طفل فتاة سعيد للغاية جودة مظهر مجموع الفراش اطفال تمكن مطابقة الوان gingham المرقعة متجر الاقمشة صنع قطع اضافي للغرفة سبيل مثال مصباح علبة قمامة الوسائد الزخرفية شنق الجدران غطاء مقعد نافذة نظر اهدافي محلية لا تحمل الخط اشترى ساقا اضافي قطع حيوان لتزيين العناصر مذكور علا انني اتطلع تقديم طفل محيطه سفاري جديد,70,56
32,train,1,مجموع رائع العلف مراهق اشترى مجموع انظر عنوان tusor tumboy my stauffer شائعة اوائل الثمانينيات العناوين وحد جعل سعر معقول حزمة فيلم jocks رائع صنع اول ومع فيلمين حزمة تمتص ل pom pom girls the van مكانهما علف ايقونة السبعينات يمتصون مجموع الافلام تمنى مجموع تحتوي عدد قليل المعايير ليلي الولايات المتحدة امريكي h o t s hollywood hot tubs ومع لا اكتشاف رائع محب movies teenage classic teenage تمرير عطلة نهاية اسبوع فتيات بوم بوم شاحنة,116,77
33,train,1,faust اغربها قلب الفيلم قصص مالوف تقع ذكاء الارقام موسيقي برية والازياء مبهج اكبر شخصي حياة اضف مجموع,25,18
34,train,1,منتج جيد جدا len and filters جيد جدا حامل ثلاثي القوائم منتج النظيفة متوسط,17,14
35,train,1,مربع حوار متفوق تريد فيلما افضل مربع حوار كوميدي اطلاق فيلمك جميع اصدار اخرى الفيلم جيد شاحب مقارنة ممثلان ممثل داعمين كبير افضل حالاتهم,39,24
36,val,1,يوم ballpark bleacher bums نسخة فيلم مسرحي city second شهير ستنجا واين نايت سينفيلد روك ثالث الشمس براد غاريت الجميع يحب ريموند تيل ديت وهال سباركس queer as قوم دور الفيلم مجموع مشجع البيسبول المخلصين يراهنون لعبة اكمل وهتاف boo for the home team ويحصلون حال نظر لقضايا العلامات قانوني والعلامة تجاري لا للفيلم استخدام اسم شعار شيكاغو wrigley field لعبة البيسبول رئيسي دوري وايضا لم يتم تصوير الفيلم شيكاغو تورونتو اونتاريو كندا حال جعل bleacher bums ضحك وتبكي وتؤمن روح البيسبول,106,82
37,train,0,فظيع اثناء تواجدي مستشفى لدي خيار كتاب ترك شخص ما مشاهدة سعر صحيح شاهد سعر شخصية كتاب مؤلف غير مستحيل درجة انني ظللت اقرا امل دقة لشخصيتها تغيير لم يات بدا فظيع انتهى المطاف القى كتاب لتجنيب مريض تالي لديه قرار يتخذه اعداد قرر تحقق مراجع ما يثير اهتمام عدد الاشخاص تعرفوا شخصية كتاب مروع حقا,87,56
38,train,1,احب تعلق بامريكا احب اعتقد انني احد الاميركيين تحدث مراجع سابق توقف فريدون لسنا بلد اخر الدول اخرى والاشخاص يستفيدون ثروتنا وسلطتنا دون المساهمة فعل باي الي فلا تفهم كتاب لن فعل شيئا تغيير رايهم يغطي جميع اساسي وتم كتاب ما يبدو شخص استمتع موضوع يا هلا قابل قراءة للغاية متصل ببطء سلسلة كتب xxx وقد ساعد كتاب لاسو خطط تدريس تاريخ حياة مهني قادم كتاب مساعدة كبير,98,68
39,test,1,tiny studio خدم وحدة عدة اشهر ومن النتائج حصل جعل الاجسام صغير تاتي حياة خاصة استخدام مصباح العبيد قوي للاضاءة موحد موحد,32,22
40,train,1,قوانين حياة مارس تاي تشي وشي ليل اكثر عام تقريب يوم تقريب بدا قراءة كتاب قصة بسيط للغاية فعال عكس حياة يومية ذكر عدم نسيان قوانين حياة بسيط مهمة للغاية,40,30
41,test,1,جيد جدا متدرب ee وكان كتاب مدرسي المعين دورة الديناميكا كهربائي سنة ثالث استخدم كتاب تشنغ كتاب تشنغ مصلحة نظرية اكثر وصيقة رياضي ومع فان كتاب ulaby متفوق تعلق بناء حمي معنى هندسي كيفية عمل الانظمة كيفية حل مشكل تاكيد وصي كتاب للعام ثاني ثالث ee major درس موضوع اول حيث قدم كتاب مقدمة وصول للغاية والعديد مشكل نهاية فصل فعلها فعل مكن تعزز فهمك للموضوعموضوع عكس مجموع مشكل تشنغ تصبح صعب للغاية صعب,101,74
42,train,0,نوع خيبة امل المحملات رقيق جدا ليس افضل نوع حصل وول مار وفر اموال,19,14
43,train,0,لم استمع قرص المضغوط واعتقد بيرلمان رائع لا احد يستطيع يتطابق لعب heifetz طبع اقترح يختار عازف كمان يريد يشيد ب heifetz تسجيل heifetz مفضلة لديهم ويعلق لا لا itzhak,43,30
44,train,1,مكن شعر حرارة منتج اخر اشترى سوار توازن طاقة استعدادا لماراثون هونولولو قسم زميل عمل قرر اجربه لاحدها مجرد تضعها حرارة طفيف تحيط رقبتك مكن شعر عمل شكل عام اشعر تحسن لدي عمل نسبة فقد عمل حظ سعيد,62,38
45,val,1,مذكرات رائع سيرة ذاتي المجيء ل hotchner كصبي بلغ عمر عام سانت لويس اثناء الاكتئاب قصص رائع حزين روى تماما اعجب قرا bad boy by jim thompson bound for glory by woody guthrie كلاهما حدث ويكونان مغامرا ومحزنا قدر,48,39
46,val,1,doc col اطلقنا مدرسة ثانوي doc كولونيدي معلم اكثر روعة مدرسة ثانوي للعلوم سنوات التوالي لم صدق لم اقرا كتاب صدق كتب ستحبها تحدث doc col مثير اهتمام,50,28
47,train,0,بوم فقير للغاية تشكيل فرقة جون سكوير الخزفي سابق فرقة مانشستر ستون روزس شخص مطلع عمل squire رائع بوم الورود سيصاب خيبة امل شديد جهد ضعيف اغاني قليل معدوم جودة جودة تنحدر منطقة روك فرعي روح عرف squire افضل لعب الجيتار وحيد لائق سجل ليس سبب لشرائه لم يكن بوم stone roses لاول حصل بدل سمح,88,56
48,train,1,ليس قصة لحب عادي نسبة سايونارا قصة رائع زوج غير محتملين للغاية ربما بساطة المراة تتمتع قراءة قصة حب رائع رواية اصابتني حقا بداية لويد رجل لا فكر مرتين مواعدة امراة يابانية مجرد عرقها مرور وتتقدم قصة بدا وجهة نظر تحول يرى هان اوجي ليس امراة يابانية كانسان محبب قلب حياة مهني تمنع علاقتهما ايا منهما لا يرغب التخلي الرابطة يشاركونها اصدقاؤهم جو كيلي وكاتسومي ليسا مجرد مثال اخر كيفية قهر لحب بالاحرى سايونارا ليست مجرد قصة حب سعيد قصة صراع والتغلب عقب مجرد مفترض,125,85
49,train,0,ضائع مال اهدر اموال شراء اعتقد سيناسب خرطوم المياه عادي لم حاول افسدها خراطيم ماء لا يزال لن يناسب,28,19
50,train,1,كتاب قصص رائع ابن اعتمدناها الصين تحب كتاب واحد مفضلاتها نوم تحب سماع الخرافات صينية كلاسيكي عمل الفني جميل جدا,28,20
51,val,1,عيش مضى امازون حالي لدي نيران البروبان يستخدم خزان بروبان رطل مشكل خزان البروبان اكبر firepit وهو تماما eyesore ذهب ace osh home depot للعثور محول خزان بروبان عكسي رطل رطل مكن العثور محول احتاج amazon عنصر مرفق بالخرطوم وحدة مكن استخدام خزانات البروبان صغير تبلغ رطل وستناسب خزانات كولمان صغير مراجع اخرى قال لا وجد منظم تاكد جميع اتصال المرفقة وجاهزة للاضاءة مكلف حد ما نسبة قطعة صغير معدن تستحق,109,71
52,val,1,فيلم رائع احب جميع الافلام سلسلة شفق واحد مذهل متحمس للفيلم نهائي سلسلة,18,13
53,val,1,يا للعجب مرر ماء الجليدي كتاب ليندا هوارد اول بداية اعتقد كثير قصة لا تغير سرعة كتاب يستحق قراءة اوه وكان مشهد حمام كوميدي سخيف احب تاكيد وصي كتاب لاولئك يحبون قصة جيد ورومانسية رائع تاكيد اقرا ليندا هوارد اخرى,57,40
54,train,0,ممثلون رائع الفيلم نتن اراد حقا رؤية مسرح لم اذهب خرج اخير قرص dvd استاجر نوع الفيلم جره ليل اول دقيقة ملل لا جيد حقا الفيلم نوع عقل جميل عقل جميل افضل كثير لا ضيع مشاهدة الفيلم فهو تمتص,62,39
55,train,1,طريقة رائع رائع للحصول فكرة حرب عالمي ثانية اللقاءات كتاب صدمتني حقا حدث حرب المانيا يعطي كتاب تفصيل رائع انتقال الحي يهودي انقاذ جميع اليهود المخيمات تريد التفاصيل وصي كتاب يعطيه تجربة حياة حقيقي مؤلف,54,35
56,train,0,جاء لون خاطئ اخرى صورة ظهر حذاء طلب ثانية ويصل حذاء نغمة وصل هدية لا توجد طريقة لشحنها اخرى ارى لون قول tan beige لون صورة لون واحد beige اليس,43,30
57,train,1,كلاسيكي اقرا للجميع قرا كتاب مدرسة ثانوي قرر قراءة نادي كتاب ادرك انني نسي خط قصة اكمل تقريب احب قراءة نظر شخصي منظور مختلف تماما كلاسيكي امريكي ويجب قرا للجميع اعتقد يدل مال لا ينتج دائم سعادة,55,37
58,test,1,new moon inuyasha ليل قمر جديد فان inuyasha نصف ياباني youkai اخذ شكل انسان عادي شكل بشري انوياشا افخم يغرور شعر اسود والعيون البنية داكن لا يزال يحتفظ بتعبير شخصية المغرور خوف ضيف مجموع متنوع ومتعة مجموع inuyashas شعر الفضي المرتفعة تماما اصل كوب شفط عرض نافذة,56,47
59,test,1,فيلم جيد احب الفيلم خرج جزء ثاني مضحك اخبر جميع اصدقائي,20,11
60,train,0,تقني تحقيق مسرح جريمة cd rom asin تقني تحقيق مسرح جريمة قام cd romi شراء قرص المضغوط مؤخرا مساعد دراسة اختبار المحققين قادم شراء قرا واحد والمراجعة عنصر مراجعة سلبية للغاية لكنني لم استمع وشرائها حال قرص المضغوط دراسة لا قيمة اخذ قرص المضغوط اجزاء كتاب موجود بخط غامق يضعه قرص مضغوط رميت الخاص بي بعيد ليس لم يكن سؤال اختبار واحد اختبار قرص المضغوط حفظ دولار اشترى شيئا حصل,94,70
61,train,1,رائع رواية قصة رائع عمر تخبر thru the view of yr will will tweedy معظم مراهق لديه كثير الاسئلة حياة لحب والتي يبدو معظم بالغ مترددين صادق تماما معظم مراهق فهو استعداد للتنصت مراقبة الاعمال الدرامية تحدث العثور اجاباته خاصة يبدو افراد اسر وزن البلدة حقيقي عكس كتابة لهجة جنوب منطقة عكس الاحداث تحدث مزيج رائع الكوميديا دراما والميلودراما قرا كتاب يوم كره ترك الاشخاص قام سيد بيرنز عمل رائع انشاء عالم تصديق,105,73
62,test,1,نسخة نهائي انتقد bird bird bird bird lamott منا احبوها عدم قول مزيد مراجع واعربت مراجعة عميل سابق قراءة كثير مما يسير خط الرحمة الانترنت salonmagazine com ما سفر الرحمة مراجعة مذهل للمواد رائع نظر ما حدث لقطعةها صالون سبيل مثال ترى لاموت عمل tm يستغرق انفاسك ترى تحصل قطع سابق شكل نهائي,83,53
63,train,1,منتج رائع سعر رائع تلقى الرقائق شحن super saver جعل كثيرا سعر بيع احساس رائع بمنتج رائع لعبة لعاب my texas holdem اكثر واقعية حيوان تحب العشيرة لعب الرقائق,37,29
64,train,0,يا ممل جدا فيلم فترة ممتع مثير ممل جدا الفيلم يضعك نوم صغير جدا بحيث لا تذكر ظهر روكينز bowie الساحة استخدم ديك رومي دليل تساءل ما دور ضجة,49,29
65,train,1,رواية حرب رائع سمع كثير الاشياء رائع كتاب جدتي قرا احب تهتز كتاب alll time تعثر كتاب ذهب تفصيل حرب ليس شيئا سيئ ليس للجميع شخصي استمتع رواية كثيرا استمتع بقصتي مختلف تجري جعل افكر اكثر قليل الاشياء تحدث استمتع نهاية لانني ما زلت غير متاكد مما حدث علي اقوم بتكوين مخيلتي افضل نهاية كتاب سررت كتاب كثيرا لا استطاع انتظار خرج مؤلف كتاب اخر,108,65
66,train,0,سيء جودة سيئ صغير وكانت مريعة ل دولار لم اكن غير راض اراد تبادلا لكني لا استطيع,21,17
67,train,0,برنامج buggy حصل zumo ما يزيد قليل شهر وخلال اغلاق وضع ايقاف طاقة عدة اثناء المهد طريقة وحيد للحصول وحدة اخرى ازالة بطارية اعادة تثبيتها استخدام مفتاح سداسي سداسي حجم مم غير مدرج تحتوي وحدة ميز رائع افتقار اعتماد جعل لعبة اكثر اداة تفكر عملية شراء تحقق zumoforums الانترنت العديد حساب zumos جديد مشكل واجه مجد amazon شحن بديل املك وحدة بضع ايام طويل جدا لتاهلها استرداد اموال والتي افضل استثمارا جيد,106,72
68,train,1,شراء رائع احب الالبوم فيث هيل لديه صوت جميل قوي سعيد للغاية لانني احضر الالبوم,19,15
69,train,1,بطل تصديق ياي جيد قرا امراة لم تكن رقيق قراءة اصدقاء الصيادين مظلم احب كتاب لانني استمتع بكل سلسلة dark hunter استمر خير عمل شيريلين,32,25
70,train,0,مثير شفقة اعطى نجمة واحد تقديم تطلب شيئا دائم معجب كبير برون هاوارد شاهد قدر ما تمكن صرف نظر موضوع البالي تمثيل التنبؤ جعل مشاهد قتال مريض سوء الحظ ما يبدو عامة الناس يتمتعون وقد غرق هوارد مستوى شعر مخرج اخر شعر بانه ضروري لتضمين لقطة شخص ما يعاني وجه دموي للحصول جمهور مدفوع الاجر اقل لم ذهب هوارد المكياج والدم مزيف حقيقي اسوا كثير حقا جزء تاريخ طريقة تصرف الناس اشعر بالخجل ايرلنديا,113,74
71,train,0,فشل خطا لدي كاميرا رقم toshiba pdr تستخدم ذاكرة رقم امن انخفاض سعر sandisk ميغابايت نسبة منافسيها صورة ثالث حصل فشل خطا ثابت عدت واحد اخرى فشل صورة العاشرة اعاد بطاقة memeory delkin digital digital secure عمل delkin شكل جيد تماما يبيع sandisk نساءهم نصف سعر منافسيهم ربما سبب سعر منخفض,69,51
72,train,0,اكره التاسعة عمر احب مجلة يبدو ثوبا كبير قراءة اصدقائي ما زالوا لعب دمى قرا ما اجد قمامة لم يكن مجلة مقالة مفيد واحد عكس سبعة عشر cosmogirl لا توجد قصص حياة حقيقي مقال صحي النجوم جميع اختبار يكررون ويكررون ويكررون النجوم بوه ليز لا يهمني ما هيلاري داف يرجع تاريخها جويل لا ولا اراد اعرف ما اشلي سيمسون توفيت شعر ذهب صالون لا وصي مجلة لاي شخص لم يكن ما فعل بدل المضي قدم قراء لن تستمتع قرا مجلة حقيقي seventeen ellegirl,130,83
73,train,1,ظلال رائع ليس مستطيلة وصف x افترض مستطيل سداسي ليس سهل وضع سطح سفينة ولكننا نجحنا عمل سهل تجميع لا يحتاج ادوات تاكيد يحتاج شخص لاعداده استغرق حوالي ساعة الاجهزة مقدمة للبرغي التزيين توفير امن الظل ممتاز ليس مقاوما ماء,56,40
74,test,1,اشعر انني حالة جيد احب فيلم عيد ميلاد صغير جميل قوم جميع ممثل عمل عمل رائع نتيجة المامولة جعل مهتم,22,20
75,train,1,the beatles abby road and songs to serial killers نسبة لاولئك منا نشاوا يستمعون البيتلز فان abby road نسبة موسيقى تذكر باعتزاز اخذ عين الانماط تمثلها موسيقى اكثر اكثر اغاني متعة فرعي انشاوها استقلال غريب الاطوار يتم تسجيل اغاني abby road جيد وفر شعور قريب غير رسمي مجموع نادرة جودة الاستوديو والعفوية live وصي بشدة قرص المضغوط لاي شخص مهتم بالبيتلز مهم نلاحظ ايا موسيقى البيتلز متوفر الانترنت ناحية قانوني itunes خدمة تنزيل موسيقى اخرى شراء قرص المضغوط,110,78
76,train,1,عاكس جذاب ظهر كاتب حساسية لموضوعها وهي دور قصة جذاب تجربة امراة امريكي المغرب تثير اسئلة مثير تفكير طبيعة السياحة وامتيازات القادرين المغادرة الاميركيين الاوروبيين مقابل يبقون وراءهم وغالبا ما يدفعون ثمن مرتفع لعناصرهم واضح تعرف موضوعها وصي لاي شخص خطط زيارة المغرب,54,43
77,train,0,sony mdr rf rk حصل منتج بناء مراجع سابق تلقى طراز mdr rf rk عمل منتج ومريحا يحتوي ضوضاء هسهسة صوت عال خلفي مجرد توصيل باي القنوات ثلاثة متاح لن وصي منتج لاي شخص اطلاق,49,35
78,train,0,كتاب عرجاء كتاب غبي حقا لديها تصوير وحشي للاميركيين المكسيكيين ليسوا الخاسرين اغبياء حقيقي لا استطيع اصدق بايك هرب نوع لديه pike شائع عصر عصر جديد كحشو نسي فعل معظم مؤامرة ليس كثير,48,33
79,train,0,لا عمل جرب ford taurus قمت تنظيف نظام اعادة تعبئة بختم كتلة k w ماء انني اخذ ترموستات يتم دوران شكل افضل سمح بالجلوس مدة ساعة تجف اعادة ملء سائل تبريد عاد الاعراض يا مضيعة مال تنظيم منتج تسرب شكل افضل مكن الابتعاد استخدام عبارة اصلاح الحشوات شكل دائم علبةهم,72,50
80,train,1,مراجعة كتاب جيد جدا phil valentine مضيف برنامج حوارية اذاعة شائعة جدا عرف كيفية كتابة,19,15
81,val,0,حفظ اموال وجهة نظر مثير حقا ل candomble umbanda espiritismo يعتقد bramly ما يبدو مصطلحات قابل تبديل عنوان الاشراف كتاب macumba يقترح سيقرا قيمة ترفيه جيد اراد مضلل التقاليد ديني الافرو برازيلي كتاب وفر اموال تعلم البرتغالية قرا الكتب كتب والممارسات,61,41
82,val,1,الاشياء الحارة لست محب طعام الحار لكنني متاكد انني محب الرجال الحار بوب فلاي تاكيد تلبي المعايير,22,17
